id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2928008,Small bedroom close to Manhattan!,1783558,Lauren,,Ward E (councilmember James Solomon),40.7255,-74.04348,Private room,69,3,1,2014-08-07,0.01,1,0
2979158,Comfy Artsy room 10 Min NYC,15194851,Yuzzy,,Ward C (councilmember Richard Boggiano),40.72628,-74.06352,Private room,70,4,1,2014-09-22,0.01,1,363
3167770,"Private, Beautiful, 5 mins to PATH!",10565533,Jayson-Tulay,,Ward E (councilmember James Solomon),40.72146,-74.04593,Entire home/apt,104,3,73,2021-04-22,0.87,1,330
3193538,Lrg Garden Studio w/Yard 29 Day Corporate,16186604,Edward,,Ward E (councilmember James Solomon),40.71492,-74.04007,Entire home/apt,105,29,203,2020-01-12,3.00,1,90
3415871,Designer Loft 10 mins to Manhattan,1231678,T,,Ward B (councilmember Mira Prinz-Arey),40.72787,-74.07708,Entire home/apt,145,3,0,,,1,1
3487433,Waterfront Loft - 7 mins to NYC!,16038,Festive,,Ward E (councilmember James Solomon),40.71721,-74.03863,Entire home/apt,254,28,9,2018-08-13,0.13,1,299
3510814,Beautiful Waterfront Condo,1835122,Abdullah,,Ward E (councilmember James Solomon),40.71344,-74.0359,Entire home/apt,99,28,9,2020-07-31,0.12,1,195
3614886,"very clean studio  NO SHARE, 1 guest only",2588186,Massimo,,Ward A (councilmember Denise Ridley),40.70353,-74.09604,Entire home/apt,45,31,42,2020-01-05,0.52,3,75
3615936,Cozy Loft Space In Funky Jersey City Record Store!,1099268,Stephen,,Ward E (councilmember James Solomon),40.72373,-74.04994,Entire home/apt,56,2,96,2019-02-25,1.17,1,95
3655301,1st Floor Brownstone in Jersey City,18494549,Manuel,,Ward F (councilmember Jermaine D. Robinson),40.71869,-74.0675,Entire home/apt,54,29,382,2021-04-18,4.64,2,337
3674016,CLEAN AND SAFE!  Downtown loft - steps to NYC!,318287,Cindy,,Ward E (councilmember James Solomon),40.72764,-74.04105,Entire home/apt,110,6,112,2021-04-17,1.37,3,362
3867097,Lux 1 Bedroom w/wifi at Newport Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72254,-74.03685,Entire home/apt,129,27,4,2015-10-12,0.05,45,365
3867660,Lux 2 Bedroom w/wifi at Newport Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72254,-74.03685,Entire home/apt,229,27,1,2015-10-13,0.01,45,365
4039058,Private Luxury Studio Apt Jersey City Newport Area,9419684,Churchill,,Ward E (councilmember James Solomon),40.7228,-74.0368,Private room,133,27,1,2016-03-29,0.02,45,365
4198514,Modern 3 Bdr with great Reviews,21781738,Robert,,Ward D (councilmember Michael Yun),40.75558,-74.04381,Entire home/apt,275,30,17,2018-05-06,0.24,1,83
4309770,"Le Piccoline  studio , NO SHARE apt",2588186,Massimo,,Ward A (councilmember Denise Ridley),40.70445,-74.09651,Entire home/apt,40,31,58,2021-03-31,0.74,3,319
4384868,Classic 1 Bedroom Apartment in Jersey City Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.72461,-74.03798,Entire home/apt,177,21,4,2019-10-20,0.06,45,344
4444623,Lux 2 Bedroom w/wifi at Newport Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72252,-74.03677,Entire home/apt,232,27,1,2016-05-31,0.02,45,365
4518114,7 min ride to NewYork/CONTACT HOST BEFORE BOOKING,15625009,Anders,,Ward E (councilmember James Solomon),40.72435,-74.05066,Entire home/apt,58,30,160,2020-02-14,2.10,2,344
4531787,Studio at heart of Downtown JC.,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72502,-74.04846,Entire home/apt,58,29,8,2021-02-28,0.12,4,47
4612761,Lux 2 Bedroom w/wifi at Newport Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72254,-74.03685,Entire home/apt,229,27,4,2019-06-07,0.05,45,365
5192752,Clean Spacious 1 Bedroom Apartment in Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72284,-74.03679,Entire home/apt,150,27,12,2018-12-05,0.18,45,365
5193707,Private Jersey City 1 Bedroom Apartment near PATH,9419684,Churchill,,Ward E (councilmember James Solomon),40.72284,-74.03679,Entire home/apt,150,27,5,2019-05-26,0.08,45,365
5209427,Lux Studio w/wifi at Newport Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72252,-74.03677,Entire home/apt,137,27,2,2017-07-01,0.03,45,365
5211401,Luxury 1 Bedroom Apt at Newport Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72252,-74.03677,Private room,154,27,4,2017-05-27,0.05,45,365
5697589,"385 ""NY"" Big modern room 5 min walk to Path/WIFI",6958867,Henry,,Ward E (councilmember James Solomon),40.72338,-74.04911,Private room,31,29,79,2021-03-10,1.07,25,71
5706875,Big room in Luxury House min to PATH NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72343,-74.04898,Private room,40,29,56,2021-03-31,0.76,24,25
5758802,Huge Modern room Downtown Jersey City/WIFI,6958867,Henry,,Ward E (councilmember James Solomon),40.72355,-74.04888,Private room,38,29,109,2021-03-09,1.52,25,0
5759911,Modern Clean room 5 min to PATH min to NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72181,-74.04862,Private room,37,29,82,2021-01-28,1.12,24,0
5772382,"385 ""SF"" Private room 5 min walk to Path/WIFI",6958867,Henry,,Ward E (councilmember James Solomon),40.72346,-74.05055,Private room,36,29,104,2020-11-30,1.43,25,54
5989369,Super nice clean and close to NYC,30560014,Dina,,Ward A (councilmember Denise Ridley),40.69664,-74.10257,Entire home/apt,150,1,24,2017-10-22,0.33,2,2
6628558,10min Subway to Downtown Manhattan,34696958,Jie,,Ward B (councilmember Mira Prinz-Arey),40.72534,-74.07198,Entire home/apt,82,150,38,2020-04-01,0.53,1,365
6661852,"Cozy, charming near NYC",34869848,Ross,,Ward F (councilmember Jermaine D. Robinson),40.71111,-74.06366,Entire home/apt,75,3,139,2021-01-25,1.95,1,62
6688818,"Modern, Clean 1 Bdrm, with Excellent location",4952591,Isabelle,,Ward B (councilmember Mira Prinz-Arey),40.73801,-74.07985,Entire home/apt,100,30,10,2019-12-20,0.15,1,361
6913016,Spacious Studio Apt.  Jersey City Heights,36226602,Lucas,,Ward D (councilmember Michael Yun),40.74131,-74.04594,Entire home/apt,115,7,40,2019-11-01,0.57,1,0
7010668,Entire 2BR Apt in JSQ,36754017,Bez,,Ward C (councilmember Richard Boggiano),40.73373,-74.06804,Entire home/apt,76,30,2,2020-12-28,0.04,1,173
7114929,Private room great location nearby NYC...,27563833,Suehay,,Ward D (councilmember Michael Yun),40.74488,-74.04738,Private room,45,4,25,2020-05-23,0.44,1,180
7144168,Modern Furnished One BR By Grove ST,37412692,Kim,,Ward E (councilmember James Solomon),40.71909,-74.0387,Entire home/apt,116,365,6,2018-05-03,0.09,13,365
7221467,"Private Suite, 25 Minutes to Manattan",915721,Ray,,Ward F (councilmember Jermaine D. Robinson),40.71086,-74.07165,Entire home/apt,63,90,6,2018-04-27,0.09,2,364
7347688,[Newport]  Cozy Private Bedroom,38493663,Abigail,,Ward E (councilmember James Solomon),40.72138,-74.03692,Private room,90,4,1,2018-04-11,0.03,1,83
7535655,Luxurious Furnished Studio - 70A60A,37412692,Kim,,Ward E (councilmember James Solomon),40.71417,-74.03681,Entire home/apt,149,365,24,2020-02-22,0.64,13,365
7535715,Luxury Studio close to NYC E0c BB04,37412692,Kim,,Ward E (councilmember James Solomon),40.71935,-74.03956,Entire home/apt,143,365,13,2019-02-15,0.19,13,365
7768246,(A) At the foot of the Statute,36265155,Yoko,,Ward F (councilmember Jermaine D. Robinson),40.71128,-74.05898,Entire home/apt,109,4,291,2021-04-06,4.18,2,116
7859250,(B) At the foot of the Statute,36265155,Yoko,,Ward F (councilmember Jermaine D. Robinson),40.71184,-74.05739,Entire home/apt,87,4,345,2021-04-12,4.99,2,356
7875285,Luxe Summer apt 5 mnts from NYC!,31780028,Sapna M,,Ward E (councilmember James Solomon),40.72496,-74.03769,Entire home/apt,120,15,0,,,1,345
8597726,Bright 1.5BR near Grove St PATH,2666704,Alex,,Ward E (councilmember James Solomon),40.72414,-74.04911,Entire home/apt,78,10,15,2019-12-20,0.22,1,0
8703242,1BR 1BA w/ Parking - 29 days minimum stay,45688009,Bo,,Ward F (councilmember Jermaine D. Robinson),40.71491,-74.06297,Entire home/apt,85,29,20,2019-03-26,0.30,1,249
8793352,NYC Brooklyn Vibe Spacious 2 BR/BA Historic Dist,576984,Kathleen,,Ward B (councilmember Mira Prinz-Arey),40.7211,-74.07908,Private room,121,150,22,2017-08-16,0.36,1,179
9152490,(2) 24/7 Train Station 10 mins Ride to Manhattan,189095873,M,,Ward C (councilmember Richard Boggiano),40.72974,-74.06902,Private room,48,30,18,2020-01-02,0.33,1,123
9170657,"Lovely 1, 2, or 3 Bedroom Home Mins To NYC",47725692,Charles,,Ward B (councilmember Mira Prinz-Arey),40.71999,-74.08638,Entire home/apt,99,5,142,2020-08-05,2.18,1,365
9433856,Historic District - New Renovation,10780955,Samantha,,Ward B (councilmember Mira Prinz-Arey),40.72052,-74.07663,Entire home/apt,120,2,127,2020-09-20,2.10,1,0
9528158,Sunny Private Room with Private Bathroom in JC,49357921,Ying,,Ward A (councilmember Denise Ridley),40.69337,-74.09016,Private room,52,30,19,2020-07-03,0.29,4,177
9531923,BRIGHT AND COZY APARTMENT MINUTES TO NEW YORK CITY,49375477,Kenia & Rod,,Ward D (councilmember Michael Yun),40.74996,-74.05218,Entire home/apt,78,2,218,2021-04-18,3.36,2,246
9565291,Private cozy room,49357921,Ying,,Ward A (councilmember Denise Ridley),40.69478,-74.0901,Private room,42,30,34,2020-09-30,0.52,4,300
9594147,Cozy red studio 15 min walk to JSQ path station,27553074,Ozzy,,Ward F (councilmember Jermaine D. Robinson),40.72419,-74.06623,Entire home/apt,63,29,200,2021-03-22,3.07,2,244
9694428,Cozy studio in jersey city,49991937,Sara,,Ward F (councilmember Jermaine D. Robinson),40.721,-74.06422,Entire home/apt,86,30,1,2016-01-03,0.02,2,0
10245726,Beautiful 3BRMS 2 BATHS APT near NY,20580419,Liliana,,Ward D (councilmember Michael Yun),40.75174,-74.05405,Entire home/apt,89,2,232,2021-04-03,3.63,3,316
10247181,Luxury 1 Bedroom with Gym,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.7229,-74.03711,Entire home/apt,139,27,0,,,37,365
10264196,Spacious 1BR | Work desk | Gym+Rooftop | JC by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72337,-74.03718,Entire home/apt,169,4,11,2020-12-19,0.21,37,343
10264615,Bright+Spacious 1BR | Work Desk + WiFi | Near PATH,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72371,-74.03727,Entire home/apt,169,4,2,2020-01-19,0.12,37,342
10264857,Spacious 1BR |  Work from Home| Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72315,-74.03616,Entire home/apt,189,4,2,2020-06-11,0.05,37,365
10267085,Private Jersey City 2 Bedroom Apartment near PATH,9419684,Churchill,,Ward E (councilmember James Solomon),40.72287,-74.03749,Entire home/apt,249,27,12,2017-12-29,0.19,45,365
10280611,Clean Spacious 2 Bedroom Apartment in Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72402,-74.03705,Entire home/apt,249,27,16,2019-07-07,0.25,45,365
10360336,Modern 1BR | WiFi+Business Center | Near Path |GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72303,-74.03658,Entire home/apt,189,4,5,2020-02-02,0.12,37,298
10361564,Private&Clean 1BR | Workspace | Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72508,-74.03641,Entire home/apt,169,4,7,2020-08-30,0.12,37,343
10362044,Modern Newport 1BR | Full Kitchen | Work Desk| GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72452,-74.03685,Entire home/apt,169,4,1,2017-12-29,0.02,37,343
10384214,*Private 2BR  | Gym | Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72344,-74.03733,Hotel room,399,27,10,2021-01-07,0.16,37,365
10385819,Spacious 2BR | Work Desk + W/D| Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72286,-74.0373,Entire home/apt,260,4,23,2021-01-23,0.47,37,1
10429121,Spacious 1BR | Gym |  Downtown JC Newport | by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72423,-74.03771,Entire home/apt,169,3,3,2019-12-20,0.07,37,344
10492376,1 Bedroom near to Grove street PATH,37412692,Kim,,Ward E (councilmember James Solomon),40.71927,-74.03998,Entire home/apt,130,365,3,2019-05-16,0.05,13,365
10753012,Warm & Welcoming room 3 blocks to PATH train $42,55599663,Lorraine,,Ward F (councilmember Jermaine D. Robinson),40.71865,-74.04918,Private room,42,5,27,2021-03-20,0.45,3,295
10991109,Spacious & Private 2BR | Downtown Jersey City,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72325,-74.03611,Entire home/apt,229,3,5,2020-10-27,0.17,37,365
11121401,"Super clean, sunny, and close to NYC No parties!!",30560014,Dina,,Ward A (councilmember Denise Ridley),40.69744,-74.10419,Entire home/apt,182,1,23,2021-03-28,0.39,2,364
11144719,"Pool, Gym, Theater & More! ✰ Steps to PATH, Ferry",30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72469,-74.03759,Entire home/apt,169,25,2,2021-02-14,0.14,37,360
11333051,Living Room Sofa,57687606,Michael,,Ward C (councilmember Richard Boggiano),40.74211,-74.05304,Shared room,300,1,0,,,1,0
11497428,Spacious Apt 10 Min from Manhattan,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.71871,-74.04462,Entire home/apt,83,7,121,2021-04-03,2.01,2,85
11633867,Easy commute 2 financial district & Nyc : 15 mins,43112186,Khalid,,Ward C (councilmember Richard Boggiano),40.7257,-74.06567,Private room,79,2,0,,,1,365
11636481,Close to park & Garfield Light Rail,61675227,Craig,,Ward F (councilmember Jermaine D. Robinson),40.71131,-74.07124,Private room,800,1,0,,,1,0
11872441,Amazing 2 bdrm waterfront duplex,14171217,,,Ward E (councilmember James Solomon),40.72624,-74.03407,Private room,75,1,4,2019-12-29,0.07,2,360
11901646,Lux 1BR Downtown Jersey City+ View!,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.7251,-74.0362,Entire home/apt,169,21,1,2020-05-16,0.09,37,365
11901827,Lux 1BR Downtown JERSEY CITY+ Pool!,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.725,-74.03742,Entire home/apt,169,27,0,,,37,365
11903161,LUX 2BR Downtown J.C.+ Pool!,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72328,-74.03566,Entire home/apt,249,27,3,2019-11-30,0.09,37,28
12344618,3rd Floor Brownstone in Jersey City,18494549,Manuel,,Ward F (councilmember Jermaine D. Robinson),40.72003,-74.0668,Entire home/apt,54,29,294,2021-03-01,4.79,2,337
12671722,Come stay enjoy relax,67849473,Carlos,,Ward A (councilmember Denise Ridley),40.69824,-74.09514,Shared room,50,1,0,,,1,0
12775129,Bright spacious breathing room,36879862,Jay,,Ward C (councilmember Richard Boggiano),40.72915,-74.06862,Private room,40,2,0,,,1,0
13235096,*Lavish 2BR Jersey City Apt | Close to Hospitals,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72345,-74.03551,Entire home/apt,222,4,2,2021-04-02,0.03,37,365
13276390,"Bright, Cozy & Clean “JC Heights”, 5.5 miles to NY",74823357,Patricia,,Ward D (councilmember Michael Yun),40.74756,-74.04837,Entire home/apt,95,3,196,2020-11-18,3.42,1,323
13434655,"Private apartment,lots of space. 15 min to time sq",76636549,Krystle  Olga,,Ward D (councilmember Michael Yun),40.75839,-74.05038,Entire home/apt,300,6,1,2016-06-28,0.02,1,89
13475143,Spacius apt  with 3 bdrms /2 baths near Manhattan!,20580419,Liliana,,Ward D (councilmember Michael Yun),40.75216,-74.05339,Entire home/apt,89,2,206,2021-04-18,3.51,3,324
13532752,NYC TRI STATE Area | Private Room,6249284,Rosalinda,,Ward A (councilmember Denise Ridley),40.70403,-74.09966,Private room,65,2,232,2020-10-29,3.91,1,276
13546158,Furnished Two Bedroom Apartment JC Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.72405,-74.03615,Entire home/apt,224,27,4,2019-10-15,0.07,45,337
13624291,"20 ""A1"" Big room in Jersey City/Min to NYC/WIFI",6958867,Henry,,Ward D (councilmember Michael Yun),40.7546,-74.0455,Private room,29,29,55,2021-03-11,0.96,25,70
13624908,"20 ""A3"" Private room close to NYC/Hoboken/WIFI",6958867,Henry,,Ward D (councilmember Michael Yun),40.75426,-74.04418,Private room,26,29,52,2021-03-31,0.88,25,83
13634025,"20 ""A2"" Private room suite close to NYC/WIFI",6958867,Henry,,Ward D (councilmember Michael Yun),40.75443,-74.04464,Private room,21,29,64,2021-01-10,1.11,25,84
13642618,Sunny Private room waling to Bus 30m to NYC WIFI,1410306,Eugene,,Ward D (councilmember Michael Yun),40.7532,-74.04455,Private room,29,29,41,2020-12-23,0.70,24,54
13994516,Spacious Jersey City 1 Bedroom Apt w/Pool & WiFi,9419684,Churchill,,Ward E (councilmember James Solomon),40.72413,-74.03658,Entire home/apt,150,27,1,2016-09-07,0.02,45,365
