ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
6,"Walked",2014,"2014",8743,2167,"Miami, FL","16000US1245000","miami-fl",0.04247349960650195
7,"Other",2014,"2014",1842,787,"Miami, FL","16000US1245000","miami-fl",0.008948437181193708
8,"Worked At Home",2014,"2014",7820,1881,"Miami, FL","16000US1245000","miami-fl",0.037989565014622584
0,"Drove Alone",2013,"2013",132031,6166,"Miami, FL","16000US1245000","miami-fl",0.6870531300411095
1,"Carpooled",2013,"2013",16074,2895.0269428798065,"Miami, FL","16000US1245000","miami-fl",0.083644689597752
2,"Public Transit",2013,"2013",23599,2873.6478559489506,"Miami, FL","16000US1245000","miami-fl",0.12280272675235468
3,"Taxi",2013,"2013",0,218,"Miami, FL","16000US1245000","miami-fl",0
4,"Motorcycle",2013,"2013",401,292,"Miami, FL","16000US1245000","miami-fl",0.0020866940729562366
5,"Bicycle",2013,"2013",1902,728,"Miami, FL","16000US1245000","miami-fl",0.00989748660040589
6,"Walked",2013,"2013",10325,2346,"Miami, FL","16000US1245000","miami-fl",0.0537284695842223
7,"Other",2013,"2013",1121,489,"Miami, FL","16000US1245000","miami-fl",0.0058333766977155645
8,"Worked At Home",2013,"2013",6717,1106,"Miami, FL","16000US1245000","miami-fl",0.034953426653483895
