id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
695109,Professionally Cleaned Central Beachside Location!,1770887,Chris,,Fort Lauderdale,26.13648,-80.10606,Entire home/apt,229,7,21,2021-03-19,0.20,10,0
695242,Beachside condo - Central Ft Lauderdale Beach!,1770887,Chris,,Fort Lauderdale,26.13748,-80.10556,Entire home/apt,347,1,34,2021-04-10,0.33,10,7
716990,Beautiful house Central Ft. Lauderdale!,3696537,David & Sindy,,Fort Lauderdale,26.14232,-80.12738,Entire home/apt,550,15,210,2018-03-18,2.04,1,1
722515,"Decadent Oasis - hot tub, pool and billiards",2609518,Bram,,Hollywood,26.0073,-80.15713,Entire home/apt,743,3,196,2021-04-22,1.90,10,201
724829,Heavenly Sunsets in Fort Lauderdale,3747351,Chuckie,,Fort Lauderdale,26.16462,-80.10483,Private room,135,1,13,2019-03-17,0.15,1,326
765598,Enjoy A Garden Eden By The Beach!,4036922,Gail,,Fort Lauderdale,26.16633,-80.11567,Entire home/apt,360,3,40,2021-04-20,0.40,1,291
801174,Quiet and basic,1563441,Andrew,,Margate,26.222,-80.21673,Private room,50,20,0,,,1,87
813346,2 month Lease on Deerfield Beach,4274008,Nathan,,Deerfield Beach,26.30933,-80.07735,Entire home/apt,300,60,0,,,1,365
817635,Deerfield Beach AVAIL.April 3 Townhouse 2Bed Gem🏖,4168960,Ike,,Deerfield Beach,26.32085,-80.14409,Entire home/apt,122,5,20,2021-04-09,0.21,1,233
844392,OCEANFRONT ON THE BEACH 4 FLOOR,2001930,Dmitri,,Hallandale Beach,25.98623,-80.1194,Entire home/apt,215,5,7,2018-03-17,0.07,48,162
901497,Mary Pop Apartments ( Studio ) LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,55,7,99,2020-02-15,0.99,8,1
912964,On the Beach Chic 2 Bedroom Miami,4787710,Shannon,,Hollywood,25.98925,-80.11882,Entire home/apt,150,2,64,2021-04-09,0.64,1,157
915364,Fully furnished studio efficiency with murphy bed.,4913859,Patrick,,Hollywood,26.02558,-80.14704,Entire home/apt,69,3,10,2020-10-15,0.33,1,122
916342,1/1 MARY POP APARTMENTS #206 LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,69,7,19,2021-04-21,0.22,8,2
980856,2 Bedroom apartment in Coral Springs,5371244,Elizabeth,,Coral Springs,26.25763,-80.23714,Entire home/apt,100,3,131,2021-04-13,1.71,2,322
990398,Sunny Fort Lauderdale Get-Away,3289399,Valerie,,Fort Lauderdale,26.14705,-80.15206,Entire home/apt,82,7,61,2021-02-25,0.65,1,337
998144,OCEANFRONT MODERN 2/2 BEDROOM ON THE BEACH  2 FL,2001930,Dmitri,,Hallandale Beach,25.98643,-80.11813,Entire home/apt,308,7,4,2021-01-03,0.05,48,152
1002995,Master bedroom at Fort lauderdale Golf Court view,5514632,Tony,,Tamarac,26.17976,-80.22598,Private room,39,1,21,2019-11-22,0.24,12,140
1038248,Mins from everything 3/2 House,240212,Elisa And Stephen,,Pembroke Pines,26.01895,-80.25821,Entire home/apt,300,7,17,2020-08-01,0.18,1,252
1053872,"Waterfront, walk to beach, luxury, guesthouse",5540104,Katarina,,Fort Lauderdale,26.11499,-80.11301,Entire home/apt,652,6,4,2020-10-05,0.04,4,334
1069095,Room in Fort lauderdale.,5514632,Tony,,North Lauderdale,26.21588,-80.22835,Private room,49,1,14,2017-03-25,0.19,12,93
1076949,Key West Style Bungalow,1931430,Ana,,Fort Lauderdale,26.11777,-80.15773,Entire home/apt,126,2,42,2021-04-07,0.47,2,254
1080080,"200 feet at water, walk to beach",5540104,Katarina,,Fort Lauderdale,26.11725,-80.11189,Entire home/apt,287,3,6,2021-03-07,0.07,4,246
1092175,OCEANFRONT ON THE BEACH. 2 BEDROOM 8TH FLOOR,2001930,Dmitri,,Hollywood,25.9867,-80.11926,Entire home/apt,275,5,6,2015-02-21,0.06,48,145
1097406,Aladdin's palace,6030918,Fatima,,Hollywood,26.01865,-80.16034,Entire home/apt,212,1,112,2021-04-05,1.18,1,332
1115250,Stay at Walrick of So Fla (BR1)!,6021015,Walter,,Wilton Manors,26.15727,-80.15172,Private room,117,1,86,2021-04-25,0.89,2,321
1115473,Stay at Walrick of So Fla (BR2),6021015,Walter,,Wilton Manors,26.15898,-80.15189,Private room,117,1,56,2021-04-18,0.60,2,330
1117425,Cute Villa w/POOL 250 yds to BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19502,-80.09752,Entire home/apt,117,5,71,2021-04-01,0.84,2,306
1118565,Elegant Condo 250 yards from BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19206,-80.09761,Entire home/apt,125,5,66,2021-03-01,0.68,2,344
1127112,Studio with kitchen at Beach Hotel,5611017,Sergio,,Hollywood,26.01299,-80.11543,Entire home/apt,65,5,97,2021-03-13,1.05,21,62
1137299,Private room in Fort Lauderdale,2980266,Sonnie,,Plantation,26.12142,-80.24073,Private room,119,2,0,,,2,362
1147098,3Bdrm/3Full Bath/Parking/OceanView Balconies/Patio,6288957,Olga,,Hollywood,26.00715,-80.11813,Entire home/apt,372,3,9,2021-03-02,0.78,6,216
1149806,Cozy Suite in Fort Lauderdale,6302818,Omar A.,,Oakland Park,26.17082,-80.13079,Entire home/apt,140,3,152,2021-03-22,1.58,1,276
1173175,Tropical Waterfront Paradise with dockage.,2604965,Maureen,,Hollywood,26.02862,-80.16496,Entire home/apt,632,2,40,2021-04-05,0.42,1,364
1206443,Luxury High-Rise Condo on the Beach,6586687,Bonnie,,Hallandale Beach,25.9785,-80.11941,Entire home/apt,170,30,0,,,1,365
1231564,Mediterranean Villa - Luxury Bath,6716392,Susan,,Coconut Creek,26.31783,-80.17438,Private room,70,6,121,2021-03-24,1.34,1,257
1293741,Sian 2/2 ocean front & ocean view,6321234,Jason,,Hollywood,25.98707,-80.11925,Entire home/apt,224,4,187,2021-04-17,1.97,1,256
1297784,Florida Style Deerfield Beach Home.,7056347,Chris,,Deerfield Beach,26.30155,-80.09108,Entire home/apt,353,2,159,2021-04-19,1.80,1,337
1301449,3/2 Townhouse Miami/Fort Lauderdale  8 mi to beach,7076305,James,,Miramar,25.97665,-80.22364,Entire home/apt,134,4,61,2020-01-21,0.68,1,108
1305586,Oceanfront 1 Bedroom 2 Bath Penthouse,3018206,Lawrence,,Hollywood,25.99211,-80.11724,Entire home/apt,86,29,2,2015-02-28,0.02,1,228
1312899,🌟 SANITIZED🌟 2 BEDROOMS APT  SAWGRASS MALL,6204254,Carlos,,Plantation,26.12323,-80.32615,Entire home/apt,114,7,71,2021-04-06,0.78,3,164
1313403,GREEN  OASIS,2453109,Sarah,,Hollywood,26.0297,-80.14122,Entire home/apt,137,3,54,2021-04-10,0.58,3,340
1326340,VILLAS HOLLYWOOD BEACH FL,7198092,Joseph,,Hollywood,26.01673,-80.11708,Entire home/apt,211,30,0,,,2,364
1339495,Waterfront-guesthouse-walk to beach,5540104,Katarina,,Fort Lauderdale,26.11532,-80.11315,Entire home/apt,509,3,4,2021-03-23,0.05,4,321
