id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31647817,Resort 1bd 1ba The Plaza Condominium Association,465985,Alicia,,Pacific Beach,32.80311,-117.23834,Entire home/apt,95,30,7,2020-06-05,0.28,1,158
31649577,Best of San Diego Granny Flat,96303584,Aaron,,Bay Park,32.79622,-117.20354,Entire home/apt,100,2,22,2021-06-13,0.86,2,251
31655107,Make the Most of Outdoor Living at a Slick Poolside Haven,15255144,Forest & Nesli,,Old Town,32.7454,-117.18477,Entire home/apt,2142,2,12,2021-04-02,0.43,6,23
31656550,"😊Quiet Mira Mesa/Sorrento Valley, UCSD/UTC(S)😊",234893241,Ariel & Jennie,,Mira Mesa,32.92784,-117.14254,Private room,55,1,4,2021-02-28,0.14,3,23
31666891,"Bankers Hills, Balboa  Park,best part of San Diego",190469021,Beto,,Midtown,32.73278,-117.16205,Entire home/apt,295,3,42,2021-07-05,1.45,1,18
31677881,High Rise Living- for the adventurous!!!,78836518,Govanni,,Core,32.71724,-117.15701,Entire home/apt,293,1,81,2021-07-11,2.91,6,306
31695120,*Deluxe Master Studio* Private Entrance & Patio,4656446,Air Concierge,,North Hills,32.74727,-117.14073,Entire home/apt,140,4,103,2021-06-28,4.25,31,49
31696356,Welcome To Your SD Home!,77944255,Stacy,,Bay Ho,32.83151,-117.22176,Private room,51,1,60,2021-06-28,2.60,3,185
31705576,OPEN FOR BUSINESS - room 2 of 2,211879257,Jodi,,Clairemont Mesa,32.83105,-117.17883,Private room,48,1,127,2021-07-08,4.67,2,29
31711573,"Scripps Pier Suite: Total privacy, Bed & Bath",10526839,Tabita,,La Jolla,32.83983,-117.25542,Private room,150,2,126,2021-07-06,5.88,3,58
31715828,Urban Retreat North Park Bungalow,109682259,Danielle,,North Hills,32.74791,-117.13532,Entire home/apt,133,3,116,2021-04-08,4.97,2,26
31740311,Cardinal Studio,2238362,John,,Bird Land,32.78293,-117.15646,Entire home/apt,75,7,13,2021-05-30,0.59,2,61
31742370,"Bright, sunny private room",156262916,Kim,,Rancho Penasquitos,33.00494,-117.09664,Private room,68,2,19,2021-07-09,0.80,1,152
31743003,Comfy North Park House in Morley Field/Balboa Park,238088074,Shauni And Natalie,,North Hills,32.74429,-117.14137,Entire home/apt,256,3,61,2021-06-16,2.66,1,44
31759250,3680 Bayside Walk 2 Bed 2 Bath Bay Front Condo,2772383,San Diego,,Mission Bay,32.78339,-117.25178,Entire home/apt,546,3,1,2021-04-25,0.37,25,174
31799298,Hakuna Matata - close to downtown,228635539,Alfredo,,Mount Hope,32.7176,-117.1108,Entire home/apt,307,2,37,2021-05-30,1.33,2,30
31800780,GORGEOUS 3 BEDROOM BAYFRONT CONDO RIGHT @THE BEACH,190860272,Fred,,Mission Bay,32.7892,-117.23995,Entire home/apt,499,4,1,2019-10-03,0.05,6,284
31801929,STUNNING 4 BEDROOM CONDO ON THE BEACH AND WATER!,190860272,Fred,,Mission Bay,32.7889,-117.2394,Entire home/apt,700,4,2,2021-05-16,0.19,6,250
31805613,"Colorful home w/ a private pool, furnished patio, & pool table!",178638155,Vacasa California,,Northwest,32.65228,-117.07281,Entire home/apt,423,2,46,2021-06-14,1.75,3,331
31808621,SPECTACULAR PENTHOUSE ON THE BEACH & WATER!,190860272,Fred,,Mission Bay,32.78923,-117.23966,Entire home/apt,700,4,11,2021-03-21,0.56,6,236
31825242,SUPER CLEAN GEM- Staycation- Upgraded Condo,56526140,Dee,,University City,32.86931,-117.22123,Entire home/apt,116,31,25,2021-03-30,0.98,1,279
31826347,San Diego City Panoramic  Views 1 Bedroom 1 Bath.,124777991,Ruth,,Balboa Park,32.7172,-117.1438,Entire home/apt,80,10,56,2021-06-06,3.28,2,139
31830925,Mission Beach cottage.,163102224,Pat,,Mission Bay,32.78423,-117.25209,Entire home/apt,150,3,53,2021-07-11,23.73,1,300
31833942,"Adorable Beach Condo, 3 houses in from beach!",204284742,Lisa,,Mission Bay,32.78451,-117.25339,Entire home/apt,147,7,57,2021-02-03,1.93,12,127
31835354,Spacious 2/2 condo in North Park with parking,8778168,Margaret,,North Hills,32.74741,-117.12613,Entire home/apt,250,2,62,2021-07-02,2.76,3,136
31854549,A Modern Vibe at Pacific Beach | San Diego,76040727,Matt,,Pacific Beach,32.79951,-117.25685,Entire home/apt,299,3,58,2021-06-24,2.31,1,309
31874568,Newly Remodeled La Playa Cottage with AC,228287030,Thomas,,Balboa Park,32.7143,-117.13664,Entire home/apt,153,2,97,2021-07-11,3.56,3,25
31883623,"Habitacion privada, Otay Ranch, CBX, Mater Dei",238977034,Elizabeth,,Otay Ranch,32.62435,-116.97661,Entire home/apt,87,2,64,2021-07-12,2.16,1,223
31886812,~Beach Oasis Steps to Sand +Roofdeck View +Bikes,25519858,Janet & Scott,,Mission Bay,32.7822,-117.25157,Entire home/apt,421,2,119,2021-06-22,4.91,22,339
31902318,#1 Unit #1 Jacuzzi   self check-in AFTER 4pm,5178760,Nico,,Memorial,32.70513,-117.13039,Private room,38,1,132,2021-06-11,5.56,7,155
31917256,"Inn at the Park, SD, CA, Studio K #2",10981379,Jan,,Midtown,32.73852,-117.15979,Entire home/apt,202,2,0,,,36,32
31917270,"Inn at the Park, SD, CA, Studio SN #1",10981379,Jan,,Midtown,32.73852,-117.15979,Entire home/apt,202,2,0,,,36,36
31920394,➳Boho Beach Home➳Close to Everything➳Outdoor Oasis,169971311,Autumn,,Grantville,32.78507,-117.09641,Entire home/apt,200,3,23,2019-09-30,0.81,1,70
31930625,✈ DISCOUNTED! 25% OFF Summer/Fall! ✔Beach Home!☀,151301119,Elena,,Mission Bay,32.7721,-117.25128,Entire home/apt,1285,3,8,2021-06-29,0.27,3,315
31932750,"Cozy cottage, 3 blocks to beach, bring the doggies",48015341,Atalanta,,Ocean Beach,32.7504,-117.24297,Entire home/apt,182,2,147,2021-06-25,5.26,2,285
31935307,* Seascape Retreat - Steps to Sand + AC & Bikes!,25519858,Janet & Scott,,Mission Bay,32.7803,-117.25206,Entire home/apt,275,2,107,2021-07-05,4.89,22,344
31949955,North Park's The Pink House,121916709,Zeina And Mo,,City Heights West,32.74882,-117.12238,Entire home/apt,250,2,39,2021-07-10,1.72,36,17
31981222,The Carmel Valley Life,60960633,Minh,,Carmel Valley,32.93344,-117.20492,Private room,99,1,8,2021-05-31,0.29,3,348
31982553,Spacious Two Bedroom in Little Italy,29286398,Christine,,Little Italy,32.72452,-117.16905,Entire home/apt,176,30,1,2021-04-07,0.30,57,287
31985832,"Mission Beach Surf 2b/2b - Office, Rooftop Deck!",3683771,Carl,,Mission Bay,32.78794,-117.25376,Entire home/apt,386,3,86,2021-07-03,3.15,1,246
32017241,Townhome minutes from Ocean Beach with pool access,22382354,Sara,,Loma Portal,32.75582,-117.22551,Entire home/apt,234,27,24,2021-06-16,1.01,1,105
32018626,Wonderful Private Space Close to Almost everything,9784609,Leon,,Grant Hill,32.70783,-117.13821,Entire home/apt,99,1,43,2020-11-15,1.48,6,73
32019861,Parapet by the Park.  Serene and cozy retreat.,3130437,Catherine,,North Hills,32.74246,-117.13209,Private room,60,2,72,2021-07-06,2.53,1,30
32019934,Fantastic Downtown San Diego 2 Bedroom Apartment,161472256,STRIV Rentals,,Core,32.71816,-117.15567,Entire home/apt,277,1,10,2021-07-02,5.66,13,52
32050140,Panoramic Ocean Views for up to 24 Guests in Two Penthouse Condos,50526077,Dana & Becky,,Mission Bay,32.7611,-117.25057,Entire home/apt,1367,3,5,2021-02-09,0.24,20,265
32051277,Charming 3 bedroom cottage - the perfect location.,38964210,Aztechan,,Del Mar Heights,32.93434,-117.24828,Entire home/apt,460,5,4,2021-01-03,0.32,1,10
32064414,719 Yarmouth,60373371,Denise,,Mission Bay,32.78773,-117.25384,Entire home/apt,390,1,19,2021-05-30,0.76,18,318
32068377,Luxury 1 bedroom with balcony and ballpark view,215257531,Katie,,East Village,32.70684,-117.15634,Entire home/apt,199,30,0,,,1,150
32087614,Be My Guests & Live It Up in the Heart of Downtown,122980628,Quy,,Marina,32.70892,-117.16266,Entire home/apt,300,30,0,,,2,146
32089569,Steps From The Beach w Rooftop Deck & Ocean Views!,22012010,Edgar,,Mission Bay,32.77664,-117.25349,Entire home/apt,398,3,40,2021-05-27,1.45,35,190
32094759,"Near SDSU, Clean Cozy cute studio central location",215746618,Shawn,,College Area,32.77153,-117.0615,Entire home/apt,80,7,38,2020-08-21,2.85,13,61
32104394,North Park Hale,240834565,Harold,,North Hills,32.74416,-117.13506,Entire home/apt,115,1,69,2021-07-06,3.06,1,275
32104833,Beach Bliss Vacation! Book your 2021 vacation!,240839748,Darren & Shana,,Mission Bay,32.77339,-117.25197,Entire home/apt,489,2,28,2021-06-23,0.99,1,115
32134402,15% OFF AUG- Modern Oceanfront Condo Only Steps to the Beach!,122055416,SeaBreeze,,Ocean Beach,32.74856,-117.25082,Entire home/apt,307,3,22,2021-05-22,0.88,147,300
32134408,"15% OFF AUG- Oceanfront Condo, Water Views, Steps to Beach +More",122055416,SeaBreeze,,Ocean Beach,32.75077,-117.25236,Entire home/apt,280,3,29,2021-06-09,1.35,147,285
32134414,"15% OFF AUG - Modern Beachfront Condo, Ocean Views, Steps to Shops!",122055416,SeaBreeze,,Ocean Beach,32.74992,-117.2505,Entire home/apt,384,3,4,2021-05-21,0.15,147,265
32148390,5 MIN FROM DOWNTOWN & NAVAL BASE w/ Free Parking,240181569,Greg,,Southcrest,32.68341,-117.1097,Entire home/apt,136,2,98,2021-06-27,3.65,1,54
32166846,* Tropical Getaway Beach Vacation Rental + Bikes!,25519858,Janet & Scott,,Mission Bay,32.7808,-117.25323,Entire home/apt,341,2,106,2021-06-29,4.33,22,329
32170620,Rustic Retreat - Private Room,241305301,Paul,,Rolando,32.76149,-117.05906,Private room,68,1,66,2021-07-11,3.19,2,42
